Area 01,Item Code 001,Visual Inspection,Inspection,Area 01 - Item Code 001,Everyday,4/12/2022,
Area 01,Item Code 002,Visual Inspection,Inspection,Area 01 - Item Code 002,Everyday,4/13/2022,
Area 01,Item Code 003,Visual Inspection,Inspection,Area 01 - Item Code 003,Everyday,4/14/2022,
Area 01,Item Code 004,Visual Inspection,Inspection,Area 01 - Item Code 004,Everyday,4/15/2022,
Area 01,Item Code 005,Visual Inspection,Inspection,Area 01 - Item Code 005,Everyday,4/16/2022,
Area 01,Item Code 006,Visual Inspection,Inspection,Area 01 - Item Code 006,Everyday,4/17/2022,
Area 01,Item Code 007,Visual Inspection,Inspection,Area 01 - Item Code 007,Everyday,4/18/2022,
Area 01,Item Code 008,Visual Inspection,Inspection,Area 01 - Item Code 008,Everyday,4/19/2022,
Area 01,Item Code 009,Visual Inspection,Inspection,Area 01 - Item Code 009,Everyday,4/20/2022,
Area 01,Item Code 010,Visual Inspection,Inspection,Area 01 - Item Code 010,Everyday,4/21/2022,
Area 01,Item Code 011,Visual Inspection,Inspection,Area 01 - Item Code 011,Monthly,4/22/2022,
Area 01,Item Code 012,Visual Inspection,Inspection,Area 01 - Item Code 012,Monthly,4/23/2022,
Area 01,Item Code 013,Visual Inspection,Inspection,Area 01 - Item Code 013,Monthly,4/24/2022,
Area 01,Item Code 014,Visual Inspection,Inspection,Area 01 - Item Code 014,Monthly,4/25/2022,
Area 01,Item Code 015,Visual Inspection,Inspection,Area 01 - Item Code 015,Monthly,4/26/2022,
Area 02,Item Code 016,Visual Inspection,Inspection,Area 02 - Item Code 016,Monthly,4/27/2022,
Area 02,Item Code 017,Visual Inspection,Inspection,Area 02 - Item Code 017,Quarterly,4/28/2022,
Area 02,Item Code 018,Visual Inspection,Inspection,Area 02 - Item Code 018,Quarterly,4/29/2022,
Area 02,Item Code 019,Visual Inspection,Inspection,Area 02 - Item Code 019,Quarterly,4/30/2022,
Area 02,Item Code 020,Visual Inspection,Inspection,Area 02 - Item Code 020,Quarterly,5/1/2022,
Area 02,Item Code 021,Visual Inspection,Inspection,Area 02 - Item Code 021,Quarterly,5/2/2022,
Area 02,Item Code 022,Visual Inspection,Inspection,Area 02 - Item Code 022,Monthly,5/3/2022,
Area 02,Item Code 023,Visual Inspection,Inspection,Area 02 - Item Code 023,Monthly,5/4/2022,
Area 02,Item Code 024,Visual Inspection,Inspection,Area 02 - Item Code 024,Monthly,5/5/2022,
Area 02,Item Code 025,Visual Inspection,Inspection,Area 02 - Item Code 025,Monthly,5/6/2022,
Area 03,Item Code 026,Visual Inspection,Inspection,Area 03 - Item Code 026,Monthly,5/7/2022,
Area 03,Item Code 027,Visual Inspection,Inspection,Area 03 - Item Code 027,Monthly,5/8/2022,
Area 03,Item Code 028,Visual Inspection,Inspection,Area 03 - Item Code 028,Monthly,5/9/2022,
Area 03,Item Code 029,Visual Inspection,Inspection,Area 03 - Item Code 029,Monthly,5/10/2022,
Area 03,Item Code 030,Visual Inspection,Inspection,Area 03 - Item Code 030,Monthly,5/11/2022,
Area 03,Item Code 031,Visual Inspection,Inspection,Area 03 - Item Code 031,Monthly,5/12/2022,
Area 03,Item Code 032,Visual Inspection,Inspection,Area 03 - Item Code 032,Monthly,5/13/2022,
Area 03,Item Code 033,Visual Inspection,Inspection,Area 03 - Item Code 033,Monthly,5/14/2022,
Area 03,Item Code 034,Visual Inspection,Inspection,Area 03 - Item Code 034,Monthly,5/15/2022,
Area 03,Item Code 035,Visual Inspection,Inspection,Area 03 - Item Code 035,Monthly,5/16/2022,
Area 04,Item Code 036,Visual Inspection,Inspection,Area 04 - Item Code 036,Weekly,5/17/2022,
Area 04,Item Code 037,Visual Inspection,Inspection,Area 04 - Item Code 037,Weekly,5/18/2022,
Area 04,Item Code 038,Visual Inspection,Inspection,Area 04 - Item Code 038,Weekly,5/19/2022,
Area 04,Item Code 039,Visual Inspection,Inspection,Area 04 - Item Code 039,Weekly,5/20/2022,
Area 04,Item Code 040,Visual Inspection,Inspection,Area 04 - Item Code 040,Weekly,5/21/2022,
Area 04,Item Code 041,Visual Inspection,Inspection,Area 04 - Item Code 041,Weekly,5/22/2022,
Area 04,Item Code 042,Visual Inspection,Inspection,Area 04 - Item Code 042,Weekly,5/23/2022,
Area 04,Item Code 043,Visual Inspection,Inspection,Area 04 - Item Code 043,Weekly,5/24/2022,
Area 04,Item Code 044,Visual Inspection,Inspection,Area 04 - Item Code 044,Weekly,5/25/2022,
Area 04,Item Code 045,Visual Inspection,Inspection,Area 04 - Item Code 045,Weekly,5/26/2022,
Area 05,Item Code 046,Visual Inspection,Inspection,Area 05 - Item Code 046,Weekly,5/27/2022,
Area 05,Item Code 047,Visual Inspection,Inspection,Area 05 - Item Code 047,Monthly,5/28/2022,
Area 05,Item Code 048,Visual Inspection,Inspection,Area 05 - Item Code 048,Monthly,5/29/2022,
Area 05,Item Code 049,Visual Inspection,Inspection,Area 05 - Item Code 049,Monthly,5/30/2022,
Area 05,Item Code 050,Visual Inspection,Inspection,Area 05 - Item Code 050,Monthly,5/31/2022,
Area 05,Item Code 051,Visual Inspection,Inspection,Area 05 - Item Code 051,Monthly,6/1/2022,
Area 05,Item Code 052,Visual Inspection,Inspection,Area 05 - Item Code 052,Weekly,6/2/2022,
Area 05,Item Code 053,Visual Inspection,Inspection,Area 05 - Item Code 053,Everyday,6/3/2022,
